[{'score': 0.639565, 'label': '/health and fitness/disease/headaches and migraines'}, {'score': 0.29834, 'label': '/home and garden/home improvement and repair/plumbing'}, {'score': 0.231681, 'label': '/health and fitness/disease/allergies'}]
[{'score': 0.596937, 'label': '/health and fitness/disease/headaches and migraines'}, {'score': 0.590334, 'label': '/health and fitness/disease/allergies'}, {'score': 0.445167, 'label': '/hobbies and interests/paranormal phenomena/occult'}]
[{'score': 0.627472, 'label': '/health and fitness/disease/allergies'}, {'score': 0.346974, 'label': '/health and fitness/disease/headaches and migraines'}, {'score': 0.225132, 'label': '/health and fitness/disease/cold and flu'}]
[{'score': 0.411065, 'label': '/health and fitness/disease/cold and flu'}, {'score': 0.408768, 'label': '/health and fitness/disease/allergies'}, {'score': 0.196961, 'label': '/health and fitness/disease/headaches and migraines'}]
[{'score': 0.7018, 'label': '/health and fitness/disease/cold and flu'}, {'score': 0.552734, 'label': '/health and fitness/disease/allergies'}, {'score': 0.371326, 'label': '/society/crime/personal offense/hate crime'}]
[{'score': 0.638812, 'label': '/food and drink/beverages/non alcoholic beverages/coffee and tea'}, {'score': 0.379667, 'label': '/health and fitness/disease/allergies'}, {'score': 0.277198, 'label': '/health and fitness/disease/headaches and migraines'}]
[{'score': 0.985724, 'label': '/health and fitness/disease/allergies'}, {'score': 0.0660597, 'label': '/health and fitness/disease/headaches and migraines'}, {'score': 0.050422, 'label': '/sports/running and jogging'}]
[{'score': 0.438351, 'label': '/health and fitness/disease/cold and flu'}, {'score': 0.208848, 'label': '/health and fitness/disease'}, {'score': 0.147647, 'label': '/health and fitness/disease/cancer'}]
[{'score': 0.788187, 'label': '/health and fitness/disease/headaches and migraines'}, {'score': 0.201569, 'label': '/health and fitness/disease/allergies'}, {'score': 0.0891391, 'label': '/health and fitness/disease/cold and flu'}]
[{'score': 0.941356, 'label': '/health and fitness/disease/cold and flu'}, {'score': 0.136063, 'label': '/health and fitness/disease'}, {'score': 0.0494956, 'label': '/shopping/toys/stuffed animals'}]
[{'score': 0.577633, 'label': '/art and entertainment'}, {'score': 0.577608, 'label': '/health and fitness/disorders/mental disorder/panic and anxiety'}, {'score': 0.271102, 'label': '/health and fitness/disease/headaches and migraines'}]
[{'score': 0.459033, 'label': '/health and fitness/disease/allergies'}, {'score': 0.197412, 'label': '/science/medicine/surgery'}, {'score': 0.166777, 'label': '/health and fitness/disease/headaches and migraines'}]
[{'score': 0.788483, 'label': '/health and fitness/disease/asthma'}, {'score': 0.523168, 'label': '/health and fitness'}, {'score': 0.146087, 'label': '/science/ecology/pollution'}]
[{'score': 0.698523, 'label': '/health and fitness/disease/headaches and migraines'}, {'score': 0.696314, 'label': '/technology and computing/consumer electronics/tv and video equipment/video players and recorders/blu-ray players and recorders'}, {'score': 0.115218, 'label': '/art and entertainment/movies and tv/movies'}]
[{'score': 0.393589, 'label': '/health and fitness/disease/cold and flu'}, {'score': 0.379898, 'label': '/science/medicine/surgery'}, {'score': 0.294036, 'label': '/science/medicine'}]
[{'score': 0.699473, 'label': '/health and fitness/disease/asthma'}, {'score': 0.452928, 'label': '/health and fitness/disease/allergies'}, {'score': 0.198151, 'label': '/science/medicine/surgery'}]
[{'score': 0.766066, 'label': '/health and fitness/disease/headaches and migraines'}, {'score': 0.564002, 'label': '/health and fitness/disease/allergies'}, {'score': 0.282526, 'label': '/health and fitness/disease/cold and flu'}]
[{'score': 0.97275, 'label': '/health and fitness/disease/allergies'}, {'score': 0.172452, 'label': '/health and fitness/disease/headaches and migraines'}, {'score': 0.128134, 'label': '/health and fitness/disease/asthma'}]
[{'score': 0.990334, 'label': '/health and fitness/disease/allergies'}, {'score': 0.12962, 'label': '/health and fitness/disease/headaches and migraines'}, {'score': 0.046072, 'label': '/health and fitness/disease/cold and flu'}]
[{'score': 0.780928, 'label': '/health and fitness/disease/allergies'}, {'score': 0.515589, 'label': '/health and fitness/disease/headaches and migraines'}, {'score': 0.239349, 'label': '/health and fitness/disease/asthma'}]
[{'score': 0.94733, 'label': '/health and fitness/disease/allergies'}, {'score': 0.228499, 'label': '/health and fitness/disease/headaches and migraines'}, {'score': 0.186429, 'label': '/food and drink'}]
[{'score': 0.394517, 'label': '/health and fitness/disease/cold and flu'}, {'score': 0.343491, 'label': '/health and fitness/disease/allergies'}, {'score': 0.203276, 'label': '/health and fitness/disease'}]
[{'score': 0.832875, 'label': '/health and fitness/disease/cold and flu'}, {'score': 0.253421, 'label': '/health and fitness/disease/allergies'}, {'score': 0.130821, 'label': '/health and fitness/disease/cancer'}]
[{'score': 0.699473, 'label': '/health and fitness/disease/asthma'}, {'score': 0.452928, 'label': '/health and fitness/disease/allergies'}, {'score': 0.198151, 'label': '/science/medicine/surgery'}]
[{'score': 0.86298, 'label': '/health and fitness/disease/cold and flu'}, {'score': 0.487357, 'label': '/health and fitness/disease/allergies'}, {'score': 0.0787162, 'label': '/health and fitness/disease/headaches and migraines'}]
[{'score': 0.840075, 'label': '/health and fitness/disease/allergies'}, {'score': 0.494619, 'label': '/health and fitness/disease/headaches and migraines'}, {'score': 0.163786, 'label': '/health and fitness/disease/cold and flu'}]
[{'score': 0.706724, 'label': '/health and fitness/disease/headaches and migraines'}, {'score': 0.487314, 'label': '/health and fitness/disease/allergies'}, {'score': 0.427478, 'label': '/health and fitness/disease/cold and flu'}]
[{'score': 0.7238, 'label': '/health and fitness/disease/allergies'}, {'score': 0.676858, 'label': '/health and fitness/drugs'}, {'score': 0.0666, 'label': '/science/medicine'}]
[{'score': 0.995505, 'label': '/health and fitness/disease/headaches and migraines'}, {'score': 0.0938614, 'label': '/health and fitness/disease/allergies'}, {'score': 0.00897856, 'label': '/health and fitness/disease/cold and flu'}]
[{'score': 0.909933, 'label': '/health and fitness/disease/allergies'}, {'score': 0.371994, 'label': '/health and fitness/disease/headaches and migraines'}, {'score': 0.0954623, 'label': '/health and fitness/disease/cold and flu'}]
[{'score': 0.718774, 'label': '/health and fitness/disease/headaches and migraines'}, {'score': 0.691474, 'label': '/health and fitness/disease/allergies'}, {'score': 0.0351183, 'label': '/health and fitness/disorders'}]
[{'score': 0.876693, 'label': '/health and fitness/disease/headaches and migraines'}, {'score': 0.449379, 'label': '/health and fitness/disease/allergies'}, {'score': 0.0766687, 'label': '/health and fitness/disease/cold and flu'}]
[{'score': 0.706909, 'label': '/health and fitness/aging'}, {'score': 0.258614, 'label': '/health and fitness/disease'}, {'score': 0.252917, 'label': '/health and fitness/disease/allergies'}]
[{'score': 0.666279, 'label': '/health and fitness/disease/allergies'}, {'score': 0.598512, 'label': '/science/medicine/surgery'}, {'score': 0.352345, 'label': '/science/medicine/surgery/cosmetic surgery'}]
[{'score': 0.908184, 'label': '/health and fitness/disease/allergies'}, {'score': 0.410302, 'label': '/health and fitness/disease/headaches and migraines'}, {'score': 0.0781833, 'label': '/health and fitness/disease/cold and flu'}]
[{'score': 0.640218, 'label': '/health and fitness/disease/allergies'}, {'score': 0.208873, 'label': '/health and fitness/disease'}, {'score': 0.152927, 'label': '/health and fitness/disease/headaches and migraines'}]
[{'score': 0.949323, 'label': '/health and fitness/disease/cancer'}, {'score': 0.174073, 'label': '/health and fitness/disease/allergies'}, {'score': 0.15036, 'label': '/health and fitness/disease'}]
[{'score': 0.704316, 'label': '/health and fitness/disease/allergies'}, {'score': 0.63897, 'label': '/law, govt and politics/armed forces/army'}, {'score': 0.0394219, 'label': '/business and industrial'}]
[{'score': 0.998962, 'label': '/health and fitness/disease/headaches and migraines'}, {'score': 0.0451423, 'label': '/health and fitness/disease/allergies'}, {'score': 0.00410455, 'label': '/health and fitness/disease/cold and flu'}]
[{'score': 0.693715, 'label': '/health and fitness/disease/asthma'}, {'score': 0.582752, 'label': '/health and fitness/disease/allergies'}, {'score': 0.256917, 'label': '/health and fitness/disease/headaches and migraines'}]
[{'score': 0.597152, 'label': '/health and fitness/disease/allergies'}, {'score': 0.532849, 'label': '/technology and computing/hardware/computer components/disks'}, {'score': 0.332516, 'label': '/health and fitness/disease/headaches and migraines'}]
[{'score': 0.69434, 'label': '/health and fitness/disease/headaches and migraines'}, {'score': 0.659159, 'label': '/hobbies and interests/games/role playing games'}, {'score': 0.15506, 'label': '/technology and computing/software/graphics software'}]
[{'score': 0.540605, 'label': '/health and fitness/disease/allergies'}, {'score': 0.536511, 'label': '/pets/aquariums'}, {'score': 0.384298, 'label': '/health and fitness/disease/asthma'}]
[{'score': 0.652633, 'label': '/health and fitness/disease/allergies'}, {'score': 0.315493, 'label': '/health and fitness/disorders/mental disorder/panic and anxiety'}, {'score': 0.19924, 'label': '/health and fitness/disease/cold and flu'}]
[{'score': 0.934057, 'label': '/health and fitness/disease/allergies'}, {'score': 0.23734, 'label': '/society/sex'}, {'score': 0.150866, 'label': '/health and fitness/disease/headaches and migraines'}]
[{'score': 0.838747, 'label': '/health and fitness/disease/cold and flu'}, {'score': 0.308629, 'label': '/health and fitness/disease/allergies'}, {'score': 0.225815, 'label': '/health and fitness/disease/headaches and migraines'}]
[{'score': 0.996928, 'label': '/health and fitness/disease/allergies'}, {'score': 0.0542645, 'label': '/health and fitness/disease/headaches and migraines'}, {'score': 0.0224781, 'label': '/health and fitness/disease/asthma'}]
[{'score': 0.780944, 'label': '/health and fitness/disease/allergies'}, {'score': 0.515599, 'label': '/health and fitness/disease/headaches and migraines'}, {'score': 0.239354, 'label': '/health and fitness/disease/asthma'}]
